City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Tezu,IN,78.55,broken clouds,27.9167,96.1667,Circuit House
4,Matara,LK,77.52,few clouds,5.9485,80.5353,Amaloh Boutique Resort
6,Inirida,CO,78.19,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
10,Pitimbu,BR,73.99,clear sky,-7.4706,-34.8086,Reserva do Abiaí
11,Puerto Ayora,EC,66.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Natal,BR,77.22,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
17,Hobart,AU,60.06,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
18,Rikitea,PF,73.04,clear sky,-23.1203,-134.9692,People ThankYou
23,Avarua,CK,69.85,light rain,-21.2078,-159.775,Paradise Inn
27,Jamestown,US,65.71,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
28,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
30,Half Moon Bay,US,75.06,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
42,Tautira,PF,77.86,light rain,-17.7333,-149.15,Pension Oaoa
43,Xinyu,CN,76.41,broken clouds,27.8043,114.9334,Xinyu Beihu Hotel
49,Tabuk,PH,79.07,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
53,Mvomero,TZ,67.89,overcast clouds,-6.25,38.6667,Kisampa Bush Retreat
54,Simao,CN,70.34,broken clouds,22.7886,100.9748,Changyu Hotel
55,Luanda,AO,71.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
57,Carnarvon,AU,68.76,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
58,Richards Bay,ZA,62.87,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
59,Bethel,US,70.48,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
61,Faanui,PF,77.2,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
62,Binzhou,CN,67.35,clear sky,37.3667,118.0167,Hampton By Hilton Binzhou
63,Atuona,PF,76.86,clear sky,-9.8,-139.0333,Villa Enata
64,Alta Floresta,BR,79.65,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
65,Taganak,PH,78.94,light rain,6.0833,118.3,Taganak
74,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
75,Ambunti,PG,78.57,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
77,Tobane,BW,62.91,light rain,-21.95,27.9,Mediterranean Deep Hotels
78,Acarau,BR,77.85,broken clouds,-2.8856,-40.12,castelo pizzaria
79,Galle,LK,78.85,few clouds,6.0367,80.217,Amangalla
80,Jumla,NP,61.05,overcast clouds,29.2747,82.1838,Royal Garden Hotel
81,Saint-Philippe,RE,69.39,light rain,-21.3585,55.7679,Le four à pain
83,Zhanakorgan,KZ,69.33,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
90,Jiayuguan,CN,64.49,clear sky,39.8167,98.3,Jiugang Hotel - Jiayuguan
92,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
94,Mbengwi,CM,61.5,overcast clouds,6.0167,10.0,Senate Hotel
95,Pilar,BR,71.53,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
98,Flinders,AU,70.05,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
99,Salalah,OM,76.59,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
101,Guerrero Negro,MX,72.84,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
102,Maceio,BR,72.84,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
105,Busselton,AU,61.66,scattered clouds,-33.65,115.3333,Observatory Guest House
106,Nelson Bay,AU,70.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
109,Bandarbeyla,SO,78.75,clear sky,9.4942,50.8122,JABIR HOTEL
110,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
115,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
116,San Joaquin,US,79.11,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
118,Suzhou,CN,68.83,overcast clouds,31.3114,120.6181,Holiday Inn Jasmine Suzhou
119,Emerald,AU,74.34,overcast clouds,-23.5333,148.1667,The Irish Village
122,Port-Gentil,GA,76.66,overcast clouds,-0.7193,8.7815,Fengshui Residence
128,Traverse City,US,71.71,broken clouds,44.7631,-85.6206,Bayshore Resort
129,Saint-Joseph,RE,68.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
130,Arraial Do Cabo,BR,69.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
131,Caravelas,BR,72.36,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
132,Hervey Bay,AU,76.01,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
133,Dogondoutchi,NE,79.86,scattered clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
136,Kepanjen,ID,77.77,overcast clouds,-8.1303,112.5727,Hotel YNO Castle
139,Quatre Cocos,MU,70.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
140,Kasane,BW,68.92,clear sky,-17.8167,25.15,The Old House
142,Bundaberg,AU,76.21,few clouds,-24.85,152.35,Takalvan Motel
143,Marsabit,KE,61.86,broken clouds,2.3284,37.9899,Chicho Hotel
145,Esperance,AU,61.14,clear sky,-33.8667,121.9,Hospitality Esperance
146,Hasaki,JP,68.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
147,Viransehir,TR,77.31,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
149,Puerto Escondido,MX,78.48,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
153,Kiryas Joel,US,68.65,broken clouds,41.342,-74.1679,Americas Best Value Inn Central Valley
156,Namibe,AO,62.65,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
160,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
161,Saint Anthony,US,79.66,thunderstorm,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
162,Ahipara,NZ,62.67,clear sky,-35.1667,173.1667,Ahipara Holiday Park
163,Hobyo,SO,76.23,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
164,Ketchikan,US,62.83,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
165,Bengkulu,ID,77.77,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
167,Naze,JP,77.92,scattered clouds,28.3667,129.4833,Shishime Hotel
168,Moerai,PF,72.09,light rain,-22.4333,-151.3333,Le Manotel
169,Yanam,IN,76.03,overcast clouds,16.7333,82.2167,The Regency Hotel
171,Lata,PT,68.07,clear sky,40.1629,-8.3327,Casa Maquia
179,Gizo,SB,79.88,moderate rain,-8.103,156.8419,Imagination Island
180,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
182,Mabai,CN,65.97,overcast clouds,23.0128,104.4508,Yingpan Hostel
184,Mogadishu,SO,77.63,broken clouds,2.0371,45.3438,Hotel Juba
