City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Labuhan,ID,-6.8844,112.2051,81.46,70,100,3.85,overcast clouds
1,Mataura,NZ,-46.1927,168.8643,53.13,86,99,1.59,overcast clouds
2,East London,ZA,-33.0153,27.9116,58.28,73,70,4.85,broken clouds
3,Tezu,IN,27.9167,96.1667,78.55,90,61,0.89,broken clouds
4,Matara,LK,5.9485,80.5353,77.52,86,21,9.15,few clouds
5,Kosh-Agach,RU,50.0,88.6667,42.24,70,8,2.08,clear sky
6,Inirida,CO,3.8653,-67.9239,78.19,82,73,2.46,broken clouds
7,Kapaa,US,22.0752,-159.319,83.12,72,36,5.99,scattered clouds
8,Jalu,LY,29.0331,21.5482,83.44,31,0,7.85,clear sky
9,Pevek,RU,69.7008,170.3133,41.99,51,100,16.13,overcast clouds
10,Pitimbu,BR,-7.4706,-34.8086,73.99,80,5,7.07,clear sky
11,Puerto Ayora,EC,-0.7393,-90.3518,66.54,93,77,8.01,broken clouds
12,Bluff,NZ,-46.6,168.3333,50.99,79,39,4.83,scattered clouds
13,Cape Town,ZA,-33.9258,18.4232,56.12,80,0,3.44,clear sky
14,Kieta,PG,-6.2167,155.6333,81.81,78,100,7.07,light rain
15,Natal,BR,-5.795,-35.2094,77.22,83,0,6.91,clear sky
16,Ust-Tsilma,RU,65.441,52.1498,48.04,93,100,10.16,light rain
17,Hobart,AU,-42.8794,147.3294,60.06,66,0,8.05,clear sky
18,Rikitea,PF,-23.1203,-134.9692,73.04,76,0,15.17,clear sky
19,Ushuaia,AR,-54.8,-68.3,44.26,65,40,10.36,scattered clouds
20,Thompson,CA,55.7435,-97.8558,44.76,81,100,10.36,overcast clouds
21,Albany,US,42.6001,-73.9662,64.17,84,74,3.0,broken clouds
22,Qaanaaq,GL,77.484,-69.3632,20.79,56,100,7.27,overcast clouds
23,Avarua,CK,-21.2078,-159.775,69.85,94,100,17.27,light rain
24,Carambei,BR,-24.9178,-50.0972,56.53,81,76,3.74,broken clouds
25,Khatanga,RU,71.9667,102.5,22.26,89,16,5.64,few clouds
26,Port Alfred,ZA,-33.5906,26.891,54.18,97,1,8.03,clear sky
27,Jamestown,US,42.097,-79.2353,65.71,72,0,5.75,clear sky
28,Vaini,TO,-21.2,-175.2,77.16,78,75,12.66,broken clouds
29,Homer,US,59.6425,-151.5483,51.76,88,100,4.0,light rain
30,Half Moon Bay,US,37.4636,-122.4286,75.06,60,20,14.97,few clouds
31,Namatanai,PG,-3.6667,152.4333,84.24,67,85,3.09,overcast clouds
32,Lavrentiya,RU,65.5833,-171.0,40.91,81,29,12.62,scattered clouds
33,Ilulissat,GL,69.2167,-51.1,33.24,95,100,12.17,overcast clouds
34,Coihaique,CL,-45.5752,-72.0662,38.01,87,0,1.14,clear sky
35,Isangel,VU,-19.55,169.2667,84.31,74,75,6.91,broken clouds
36,Upernavik,GL,72.7868,-56.1549,33.08,99,100,4.54,light snow
37,Punta Arenas,CL,-53.15,-70.9167,41.02,60,20,3.44,few clouds
38,Butaritari,KI,3.0707,172.7902,81.7,75,84,9.15,broken clouds
39,Castro,BR,-24.7911,-50.0119,58.6,83,78,2.75,broken clouds
40,Bredasdorp,ZA,-34.5322,20.0403,48.85,90,1,4.16,clear sky
41,Rio Gallegos,AR,-51.6226,-69.2181,39.25,75,0,18.41,clear sky
42,Tautira,PF,-17.7333,-149.15,77.86,74,54,18.23,light rain
43,Xinyu,CN,27.8043,114.9334,76.41,48,62,8.97,broken clouds
44,Nanortalik,GL,60.1432,-45.2371,39.99,91,4,17.2,clear sky
45,Anchorage,US,61.2181,-149.9003,52.86,89,100,8.01,overcast clouds
46,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,76,75,20.71,broken clouds
47,Taltal,CL,-25.4,-70.4833,56.82,70,0,6.4,clear sky
48,New Norfolk,AU,-42.7826,147.0587,59.72,58,57,5.01,broken clouds
49,Tabuk,PH,17.4189,121.4443,79.07,79,100,1.5,overcast clouds
50,Magadan,RU,59.5667,150.8,43.54,78,81,11.43,broken clouds
51,Fenoarivo,MG,-18.933,47.4354,53.67,82,20,8.05,few clouds
52,Pringsewu,ID,-5.3582,104.9744,80.4,75,85,0.38,overcast clouds
53,Mvomero,TZ,-6.25,38.6667,67.89,93,100,3.4,overcast clouds
54,Simao,CN,22.7886,100.9748,70.34,80,69,1.03,broken clouds
55,Luanda,AO,-8.8368,13.2343,71.6,88,20,4.61,few clouds
56,Hithadhoo,MV,-0.6,73.0833,81.64,70,56,3.49,broken clouds
57,Carnarvon,AU,-24.8667,113.6333,68.76,43,100,9.19,overcast clouds
58,Richards Bay,ZA,-28.783,32.0377,62.87,82,100,10.51,light rain
59,Bethel,US,41.3712,-73.414,70.48,81,0,4.85,clear sky
60,Nikolskoye,RU,59.7035,30.7861,48.78,97,96,4.0,overcast clouds
61,Faanui,PF,-16.4833,-151.75,77.2,78,63,15.82,light rain
62,Binzhou,CN,37.3667,118.0167,67.35,52,0,5.73,clear sky
63,Atuona,PF,-9.8,-139.0333,76.86,75,7,19.55,clear sky
64,Alta Floresta,BR,-9.8756,-56.0861,79.65,53,58,0.47,broken clouds
65,Taganak,PH,6.0833,118.3,78.94,73,100,7.54,light rain
66,Kaitangata,NZ,-46.2817,169.8464,51.35,84,89,4.99,overcast clouds
67,Tuatapere,NZ,-46.1333,167.6833,53.33,78,58,4.21,broken clouds
68,Georgetown,MY,5.4112,100.3354,80.53,91,20,0.0,few clouds
69,Nuevo Progreso,MX,23.1667,-97.95,80.89,72,16,4.16,few clouds
70,Hilo,US,19.7297,-155.09,85.28,70,0,11.5,clear sky
71,San Pedro,PH,14.35,121.0167,83.35,83,40,3.44,scattered clouds
72,Dikson,RU,73.5069,80.5464,30.4,74,100,27.92,overcast clouds
73,Humaita,BR,-7.5061,-63.0208,81.19,52,3,2.19,clear sky
74,San Cristobal,VE,7.7669,-72.225,75.38,96,81,1.34,broken clouds
75,Ambunti,PG,-4.2365,142.8448,78.57,87,100,1.25,overcast clouds
76,Kavieng,PG,-2.5744,150.7967,84.04,66,87,8.95,overcast clouds
77,Tobane,BW,-21.95,27.9,62.91,86,100,13.47,light rain
78,Acarau,BR,-2.8856,-40.12,77.85,84,56,18.12,broken clouds
79,Galle,LK,6.0367,80.217,78.85,83,17,9.64,few clouds
80,Jumla,NP,29.2747,82.1838,61.05,87,99,1.32,overcast clouds
81,Saint-Philippe,RE,-21.3585,55.7679,69.39,86,83,15.1,light rain
82,Cabo San Lucas,MX,22.8909,-109.9124,81.61,85,100,3.0,overcast clouds
83,Zhanakorgan,KZ,43.9098,67.2495,69.33,25,0,9.93,clear sky
84,Saldanha,ZA,-33.0117,17.9442,48.25,81,6,5.32,clear sky
85,Vallenar,CL,-28.5708,-70.7581,55.27,57,0,1.36,clear sky
86,Victoria,HK,22.2855,114.1577,84.38,73,83,11.01,broken clouds
87,Ust-Nera,RU,64.5667,143.2,31.57,89,100,5.08,light snow
88,Guadalupe Y Calvo,MX,26.1,-106.9667,59.45,83,86,1.14,overcast clouds
89,Dembi Dolo,ET,8.5333,34.8,56.52,89,100,5.37,overcast clouds
90,Jiayuguan,CN,39.8167,98.3,64.49,28,0,10.92,clear sky
91,Tasiilaq,GL,65.6145,-37.6368,35.47,98,100,5.12,light rain
92,Bambous Virieux,MU,-20.3428,57.7575,70.21,83,40,12.66,light rain
93,Kodiak,US,57.79,-152.4072,52.11,70,48,9.95,scattered clouds
94,Mbengwi,CM,6.0167,10.0,61.5,97,100,1.14,overcast clouds
95,Pilar,BR,-9.5972,-35.9567,71.53,92,33,2.39,scattered clouds
